year,code,varroa,spores,cbpv_max,dwv_max,iapv_max,kbv_max,sbpv_max,abpv_max,dwv-b_max,lsv2_max,mkv_max,cbpv_prob,dwv_prob,iapv_prob,kbv_prob,sbpv_prob,abpv_prob,dwv-b_prob,lsv2_prob,mkv_prob,prevyearspores,prevyearvarroa,state
2014,CT,4.997142857142857,0.1285714285714286,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42857142857142855,1.0,0.14285714285714285,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.22224702380952382,3.6725148809523813,Connecticut
2015,CT,2.1670833333333337,0.3854166666666667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.08333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.1285714285714286,4.997142857142857,Connecticut
2016,CT,3.9445833333333336,0.15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.9583333333333334,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.0,0.3854166666666667,2.1670833333333337,Connecticut
2017,CT,3.5812500000000003,0.225,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.25,0.75,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.6666666666666666,0.125,0.0,0.15,3.9445833333333336,Connecticut
2018,DC,6.134166666666666,0.25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.8333333333333334,0.3333333333333333,0.0,0.0,0.375,1.0,0.0,0.0,0.1676169590643275,5.662916666666667,District of Columbia
2019,DC,5.7245833333333325,0.17916666666666667,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.041666666666666664,0.625,0.125,0.0,0.0,0.125,1.0,0.125,0.0,0.25,6.134166666666666,District of Columbia
2020,DC,5.13,0.0736842105263158,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15789473684210525,0.9473684210526315,0.10526315789473684,0.0,0.0,0.21052631578947367,1.0,0.05263157894736842,0.0,0.17916666666666667,5.7245833333333325,District of Columbia
2012,DE,4.25,0.015625,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0625,0.8125,0.0625,0.0,0.0,0.375,1.0,0.0,0.0,0.07501660628019323,3.02774154589372,Delaware
2016,DE,1.925,0.11500000000000002,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.85,0.05,0.0,0.0,0.8,0.3,0.35,0.0,0.07501660628019323,3.02774154589372,Delaware
2017,DE,3.45,0.025,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.25,0.25,0.0,0.5,1.0,0.25,0.0,0.11500000000000002,1.925,Delaware
2018,DE,1.872391304347826,0.18369565217391304,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15217391304347827,0.717391304347826,0.17391304347826086,0.0,0.0,0.13043478260869565,0.8043478260869565,0.43478260869565216,0.0,0.025,3.45,Delaware
2019,DE,4.347391304347826,0.10869565217391304,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.08695652173913043,0.782608695652174,0.43478260869565216,0.0,0.0,0.34782608695652173,0.9565217391304348,0.21739130434782608,0.0,0.18369565217391304,1.872391304347826,Delaware
2020,DE,2.3216666666666668,0.0020833333333333333,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.20833333333333334,0.7916666666666666,0.16666666666666666,0.0,0.0,0.125,1.0,0.25,0.0,0.10869565217391304,4.347391304347826,Delaware
2010,FL,2.5683333333333334,0.7458333333333332,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.041666666666666664,0.9166666666666666,0.16666666666666666,0.041666666666666664,0.0,0.0,1.0,0.0,0.0,0.5508775499354447,3.8668247892458423,Florida
2011,FL,5.3508000000000004,0.41159999999999997,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.92,0.12,0.08,0.0,0.36,1.0,0.0,0.0,0.7458333333333332,2.5683333333333334,Florida
2012,FL,4.230952380952381,0.5095238095238095,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.047619047619047616,0.9285714285714286,0.047619047619047616,0.0,0.0,0.2619047619047619,1.0,0.0,0.0,0.41159999999999997,5.3508000000000004,Florida
2013,FL,6.648000000000001,0.9365,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523,1.0,0.0,0.0,0.5095238095238095,4.230952380952381,Florida
2014,FL,3.8412,0.632,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,0.92,0.16,0.04,0.0,0.2,1.0,0.36,0.0,0.9365,6.648000000000001,Florida
2015,FL,4.726,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05,0.9,0.1,0.0,0.0,0.3,1.0,0.3,0.0,0.632,3.8412,Florida
2016,FL,5.457222222222223,0.5888888888888889,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.8888888888888888,0.16666666666666666,0.1111111111111111,0.0,0.5,0.7222222222222222,0.3888888888888889,0.0,0.2,4.726,Florida
2017,FL,5.235263157894737,0.5394736842105263,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.10526315789473684,0.9473684210526315,0.05263157894736842,0.0,0.0,0.5789473684210527,0.8421052631578947,0.2631578947368421,0.0,0.5888888888888889,5.457222222222223,Florida
2018,FL,1.6577777777777778,0.37083333333333335,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.9722222222222222,0.2777777777777778,0.027777777777777776,0.0,0.19444444444444445,0.9444444444444444,0.3055555555555556,0.0,0.5394736842105263,5.235263157894737,Florida
2019,FL,1.3095238095238095,0.4666666666666667,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8095238095238095,0.14285714285714285,0.0,0.0,0.38095238095238093,0.8571428571428571,0.09523809523809523,0.0,0.37083333333333335,1.6577777777777778,Florida
2020,FL,1.5100000000000002,0.6583333333333333,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05555555555555555,1.0,0.2222222222222222,0.0,0.0,0.2777777777777778,1.0,0.3333333333333333,0.0,0.4666666666666667,1.3095238095238095,Florida
2010,GA,1.8396000000000001,0.028399999999999998,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.96,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.1448299155682555,2.41345775551487,Georgia
2011,GA,2.7750000000000004,0.125,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8846153846153846,0.038461538461538464,0.0,0.0,0.0,1.0,0.0,0.0,0.028399999999999998,1.8396000000000001,Georgia
2012,GA,5.141666666666667,0.33125,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.9583333333333334,0.0,0.125,0.0,0.375,1.0,0.0,0.0,0.125,2.7750000000000004,Georgia
2013,GA,2.447083333333333,0.07916666666666666,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.125,0.08333333333333333,0.0,0.041666666666666664,1.0,0.0,0.0,0.33125,5.141666666666667,Georgia
2014,GA,1.728695652173913,0.19130434782608696,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2608695652173913,0.9130434782608695,0.17391304347826086,0.08695652173913043,0.0,0.13043478260869565,1.0,0.391304347826087,0.0,0.07916666666666666,2.447083333333333,Georgia
2015,GA,1.3204761904761904,0.0857142857142857,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.09523809523809523,1.0,0.047619047619047616,0.0,0.0,0.14285714285714285,1.0,0.14285714285714285,0.0,0.19130434782608696,1.728695652173913,Georgia
