,State,Year,Prev Days with AQI,Prev Good Days,Prev Moderate Days,Prev Unhealthy for Sensitive Groups Days,Prev Unhealthy Days,Prev Very Unhealthy Days,Prev Hazardous Days,Prev Max AQI,Prev 90th Percentile AQI,Prev Median AQI,Prev Days CO,Prev Days NO2,Prev Days Ozone,Prev Days PM2.5,Prev Days PM10,5 Year Avg Days with AQI,5 Year Avg Good Days,5 Year Avg Moderate Days,5 Year Avg Unhealthy for Sensitive Groups Days,5 Year Avg Unhealthy Days,5 Year Avg Very Unhealthy Days,5 Year Avg Hazardous Days,5 Year Avg Max AQI,5 Year Avg 90th Percentile AQI,5 Year Avg Median AQI,5 Year Avg Days CO,5 Year Avg Days NO2,5 Year Avg Days Ozone,5 Year Avg Days PM2.5,5 Year Avg Days PM10
325,Idaho,2003.0,175.45833333333334,139.33333333333334,34.0,1.9583333333333333,0.16666666666666666,0.0,0.0,165,57.125,28.833333333333332,6.875,4.958333333333333,37.916666666666664,68.16666666666667,57.541666666666664,186.04312865497076,154.4970760233918,27.922222222222224,2.4828947368421037,1.0450292397660819,0.08538011695906432,0.010526315789473684,255.6,52.14195906432749,26.650877192982456,21.959795321637426,10.29985380116959,24.673976608187132,51.141520467836244,77.96798245614035
326,Idaho,2004.0,194.54545454545453,166.77272727272728,26.863636363636363,0.8636363636363636,0.045454545454545456,0.0,0.0,158,48.22727272727273,25.954545454545453,8.045454545454545,12.045454545454545,41.77272727272727,74.18181818181819,58.5,195.6744417862839,161.67384370015947,30.372727272727275,2.5222886762360437,1.0318979266347688,0.06315789473684211,0.010526315789473684,238.6,52.56519138755981,27.041786283891547,19.657775119617224,8.053389154704943,29.106299840510367,63.522328548644325,75.33464912280701
327,Idaho,2005.0,226.95833333333334,189.5,35.75,1.5833333333333333,0.125,0.0,0.0,172,53.458333333333336,29.083333333333332,2.9583333333333335,3.25,38.166666666666664,147.29166666666666,35.291666666666664,201.18189792663478,166.2896331738437,32.343779904306224,2.070534290271131,0.446371610845295,0.031578947368421054,0.0,175.2,53.33054226475279,27.553189792663478,13.859968102073363,5.2297049441786285,33.044896331738435,84.19118819776713,64.8561403508772
328,Idaho,2006.0,276.4782608695652,227.69565217391303,45.43478260869565,2.608695652173913,0.7391304347826086,0.0,0.0,174,53.130434782608695,26.043478260869566,2.1739130434782608,0.13043478260869565,24.391304347826086,223.1304347826087,26.652173913043477,216.98281325844255,179.5129741349421,35.28336800499272,1.8975365786006506,0.28893453990707985,0.0,0.0,166.6,52.85136606337979,27.50925386589002,8.652645447611123,4.0873708480687885,34.249472990777335,117.91201199639413,52.08131197559114
329,Idaho,2007.0,272.75,223.2,45.55,3.55,0.45,0.0,0.0,174,55.2,28.7,0.3,0.9,16.6,221.55,33.4,229.2380764163373,189.30034255599475,37.5196837944664,2.112799736495387,0.3052503293807641,0.0,0.0,168.6,53.428208168642946,27.722938076416334,4.070540184453227,4.256844532279315,31.76947299077734,146.86411725955205,42.27710144927536
330,Idaho,2008.0,301.27777777777777,244.0,53.27777777777778,3.3333333333333335,0.6111111111111112,0.05555555555555555,0.0,223,56.5,27.61111111111111,0.6111111111111112,0.16666666666666666,26.88888888888889,234.72222222222223,38.888888888888886,254.40196530522616,210.23367588932805,41.37523935002196,2.3877997364953876,0.394139218269653,0.01111111111111111,0.0,180.2,53.303208168642946,27.47849363197189,2.81776240667545,3.298511198945982,29.563917435221782,180.17522837066312,38.5465458937198
331,Idaho,2009.0,277.7368421052632,239.8421052631579,36.26315789473684,1.4210526315789473,0.21052631578947367,0.0,0.0,168,48.36842105263158,25.94736842105263,0.42105263157894735,0.0,32.89473684210526,207.94736842105263,36.473684210526315,271.0402428171879,224.8475514874142,43.255143656242055,2.4992829900839038,0.42715357233663853,0.01111111111111111,0.0,182.2,53.33143783371472,27.47705822527333,1.2928820239003307,0.8894202898550725,27.788319349097378,206.92833841851,34.14128273582507
332,Idaho,2010.0,304.77777777777777,263.6111111111111,38.833333333333336,2.2777777777777777,0.05555555555555555,0.0,0.0,152,48.72222222222222,25.0,1.3333333333333333,1.7777777777777777,34.333333333333336,214.44444444444446,52.888888888888886,286.6041317060768,239.66977370963642,43.87181032290872,2.638171878972793,0.4132646834477497,0.01111111111111111,0.0,178.2,52.38421561149251,26.66039155860666,0.9678820239003304,0.5949758454106281,27.021652682430716,220.35889397406558,37.66072718026952
333,Idaho,2011.0,272.5882352941176,228.41176470588235,41.294117647058826,2.7058823529411766,0.17647058823529413,0.0,0.0,158,50.11764705882353,28.176470588235293,0.0,0.9411764705882353,46.94117647058823,180.1764705882353,44.529411764705884,285.82612659098726,239.81299621603026,43.04367733058136,2.6576092191262455,0.30073271413828684,0.01111111111111111,0.0,175.0,51.78165806673546,27.086990024079807,0.5330994152046784,0.757124183006536,31.531627106983144,211.7681011351909,41.23617475060199
334,Idaho,2012.0,315.3125,275.3125,37.125,2.5,0.375,0.0,0.0,166,47.5,25.4375,0.6875,0.625,60.6875,193.0625,60.25,294.33862659098725,250.23549621603024,41.35867733058136,2.4476092191262455,0.2857327141382868,0.01111111111111111,0.0,173.4,50.24165806673547,26.434490024079803,0.6105994152046784,0.7021241830065359,40.34912710698315,206.0706011351909,46.606174750601994
335,Idaho,2013.0,341.85714285714283,281.5,52.642857142857146,3.5714285714285716,3.2142857142857144,0.9285714285714286,0.0,268,59.5,24.571428571428573,0.5,1.7857142857142858,40.0,234.0,65.57142857142857,302.4544996068603,257.73549621603024,41.23169320359723,2.4952282667452934,0.8063676347732075,0.18571428571428572,0.0,182.4,50.84165806673546,25.8265535161433,0.5883771929824562,1.0259337068160597,42.97134932920537,205.9261566907465,51.94268268710992
336,Idaho,2014.0,277.0769230769231,222.53846153846155,47.76923076923077,5.230769230769231,1.5384615384615385,0.0,0.0,185,53.46153846153846,25.53846153846154,0.15384615384615385,6.384615384615385,41.30769230769231,174.6153846153846,54.61538461538461,302.32251580119225,254.274767471091,43.53290777849601,3.2571715865833495,1.0719546793076205,0.18571428571428572,0.0,185.8,51.860281548516845,25.74477213962508,0.5349358974358973,2.302856783739137,44.653940422322776,199.25975992961287,55.57102276808159
337,Idaho,2015.0,330.9,277.0,49.1,4.4,0.4,0.0,0.0,156,51.5,26.6,0.3,6.5,60.4,188.8,74.9,307.54696024563674,256.9525452488688,45.586241111829345,3.6816160310277946,1.1408435681965094,0.18571428571428572,0.0,186.6,52.415837104072395,26.06477213962508,0.32826923076923076,3.2473012281835807,49.86727375565611,194.13087104072397,59.97324499030382
338,Idaho,2016.0,280.4,230.95,41.15,5.6,2.35,0.3,0.05,302,53.85,24.75,0.2,2.55,28.9,230.75,18.0,309.1093131868132,257.4601923076923,45.557417582417585,4.2604395604395595,1.5755494505494507,0.24571428571428572,0.01,215.4,53.16230769230769,25.379478021978024,0.36826923076923074,3.5690659340659336,46.25903846153846,204.2455769230769,54.667362637362636
339,Idaho,2017.0,322.35,275.3,43.4,3.35,0.3,0.0,0.0,170,52.5,24.55,0.0,1.2,32.95,280.9,7.3,310.51681318681324,257.4576923076923,46.81241758241758,4.430439560439559,1.5605494505494506,0.24571428571428572,0.01,216.2,54.16230769230769,25.20197802197802,0.23076923076923075,3.6840659340659334,40.71153846153847,221.81307692307692,44.07736263736264
340,Idaho,2018.0,334.15,258.4,62.75,8.65,3.15,1.15,0.05,307,65.0,28.4,0.15,0.75,38.0,289.45,5.8,308.9753846153846,252.8376923076923,48.83384615384615,5.446153846153845,1.5476923076923077,0.29,0.02,224.0,55.262307692307694,25.967692307692307,0.16076923076923078,3.4769230769230766,40.31153846153846,232.90307692307687,32.12307692307693
341,Idaho,2019.0,342.5,277.3,59.4,4.8,0.9,0.1,0.0,245,58.3,27.0,0.15,0.0,42.6,287.2,12.55,322.06,263.79,51.160000000000004,5.3599999999999985,1.4200000000000002,0.31,0.02,236.0,56.23,26.259999999999998,0.16,2.2,40.57,255.42,23.71
342,Idaho,2020.0,345.55,303.3,41.0,1.1,0.15,0.0,0.0,165,48.15,24.35,0.0,0.4,40.65,286.1,18.4,324.99,269.05,49.54,4.6999999999999975,1.3699999999999999,0.31,0.02,237.8,55.56,25.810000000000002,0.09999999999999999,0.9799999999999999,36.62,274.88,12.41
343,Idaho,2021.0,342.3,283.5,50.85,3.65,3.4,0.65,0.25,384,54.5,25.9,0.0,1.1,44.6,286.7,9.9,337.37,279.56000000000006,51.48,4.309999999999999,1.58,0.38,0.06,254.2,55.69,26.04,0.06,0.6900000000000001,39.760000000000005,286.07,10.79
